,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test),,total,train,test
21,0.985992005,0.996838428,0.965047316,0.980685295,0.748775978,0.734810786,0.505936255,0.599263838,,,,
22,0.986310032,0.997067753,0.96568957,0.981127843,0.748894313,0.734716283,0.506573705,0.599679291,,,,
23,0.985832991,0.9970432,0.964415097,0.980457771,0.748450558,0.73531806,0.503824701,0.597947894,,,,
24,0.986173207,0.996963605,0.965418619,0.980937572,0.748820354,0.737078783,0.502828685,0.59782583,,,,
25,0.986095549,0.996962944,0.96520788,0.980828455,0.749722654,0.737956714,0.505338645,0.599886493,,,,
26,0.985929139,0.997209022,0.964515449,0.980589805,0.75001849,0.736802588,0.508247012,0.601546659,,,,
27,0.986236072,0.996850883,0.965699606,0.981028015,0.750151616,0.738897619,0.505776892,0.600506138,,,,
28,0.986032683,0.996931498,0.965067387,0.980740695,0.750521411,0.738971442,0.507211155,0.601540352,,,,
29,0.985832991,0.996878241,0.964575661,0.98046096,0.74723763,0.732961154,0.502151394,0.595990165,,,,
30,0.985892159,0.996662452,0.964946964,0.980548318,0.748435767,0.735330038,0.50374502,0.597895732,,,,
31,0.985855179,0.996837215,0.964676013,0.980492955,0.74920494,0.738422809,0.50250996,0.598041772,,,,
32,0.985977213,0.997291941,0.964565625,0.980655825,0.748287849,0.736691069,0.501155378,0.596514523,,,,
33,0.985999401,0.996704629,0.965197844,0.980698248,0.747104504,0.73238864,0.502430279,0.59599707,,,,
34,0.985940233,0.997002852,0.964746259,0.980609362,0.748849937,0.73494185,0.506055777,0.599391265,,,,
35,0.98627675,0.997397345,0.965278126,0.98107492,0.748376599,0.735515053,0.503227092,0.597591843,,,,
36,0.98622128,0.996943417,0.965569148,0.981005495,0.750743288,0.73613099,0.512270916,0.60412996,,,,
37,0.985940233,0.996745271,0.96499714,0.980614305,0.750684121,0.736748406,0.511115538,0.603533037,,,,
38,0.985921743,0.996703912,0.964987105,0.980589108,0.751364544,0.739859978,0.509442231,0.603402308,,,,
39,0.985932837,0.99715747,0.964575661,0.980595995,0.748450558,0.73531806,0.503824701,0.597947894,,,,
40,0.985825595,0.996764828,0.964665978,0.980452754,0.74953036,0.737980069,0.504501992,0.59930429,,,,
41,0.985936535,0.996837936,0.964896788,0.980607328,0.747577842,0.734406908,0.501474104,0.595989488,,,,
42,0.985644394,0.996897214,0.964043794,0.980195292,0.749559944,0.737733543,0.50498008,0.599560086,,,,
43,0.986543006,0.997399287,0.966000662,0.981448912,0.748406183,0.735875459,0.502828685,0.597429647,,,,
44,0.985873669,0.996940437,0.964625837,0.980516964,0.750048073,0.735365014,0.510478088,0.6026244,,,,
45,0.986206488,0.996840328,0.965629359,0.980986655,0.74821389,0.733064051,0.506135458,0.598821588,,,,
46,0.985877367,0.996930161,0.964645907,0.980522362,0.748909104,0.737614786,0.502430279,0.597720217,,,,
47,0.986165811,0.997004747,0.965358408,0.980926403,0.747770135,0.732144918,0.50561753,0.598152425,,,,
48,0.986173207,0.997025414,0.965358408,0.980936405,0.750195991,0.738971016,0.505856574,0.600586538,,,,
49,0.98623977,0.996871504,0.96568957,0.981032822,0.751468087,0.739135447,0.510916335,0.604193168,,,,
50,0.986583684,0.996987671,0.966512459,0.981513564,0.748568893,0.734813355,0.505059761,0.598649414,,,,
51,0.986398784,0.997099377,0.96590031,0.981251912,0.747577842,0.731489484,0.505776892,0.598044989,,,,
52,0.985792313,0.997094441,0.964254533,0.980399559,0.746571999,0.731477715,0.501513944,0.595050698,,,,
53,0.986058569,0.996818422,0.965248021,0.980779231,0.750565787,0.737720058,0.509203187,0.602522098,,,,
54,0.986228676,0.9967479,0.965779887,0.981019561,0.748923896,0.736633663,0.503904382,0.598438609,,,,
55,0.986361804,0.996697688,0.966191332,0.981207452,0.745521781,0.729055465,0.50063745,0.593631897,,,,
56,0.986036381,0.996807926,0.965197844,0.980748249,0.750343909,0.737547671,0.508525896,0.601990284,,,,
57,0.986635456,0.996895535,0.966743269,0.981587903,0.749160565,0.733992413,0.50876494,0.600969457,,,,
58,0.98629524,0.996964643,0.965749782,0.981108993,0.749574736,0.736784141,0.506414343,0.600255006,,,,
59,0.985877367,0.996909547,0.964665978,0.980522759,0.749959323,0.736441265,0.508525896,0.601621418,,,,
60,0.985733145,0.997063005,0.964124076,0.980316929,0.749545152,0.735987519,0.507450199,0.60071688,,,,
61,0.986454254,0.996945411,0.966201367,0.981332654,0.748909104,0.737448127,0.502669323,0.597834585,,,,
62,0.986195395,0.996871115,0.965569148,0.98097049,0.750284742,0.738451718,0.506972112,0.601200038,,,,
63,0.986162113,0.996788463,0.965559112,0.980925292,0.748642852,0.735709717,0.504063745,0.598245738,,,,
64,0.986106643,0.996901233,0.965298197,0.980845217,0.747932845,0.734696255,0.502549801,0.596844023,,,,
65,0.986003099,0.996869428,0.965047316,0.980700296,0.749456401,0.737543655,0.504820717,0.599385052,,,,
66,0.986254562,0.996727559,0.965870204,0.981056301,0.748450558,0.734690327,0.504741036,0.598384659,,,,
67,0.986114039,0.996890998,0.965328302,0.980855804,0.750772872,0.736026088,0.512549801,0.604288499,,,,
68,0.986025287,0.996653405,0.965318267,0.980735605,0.749619111,0.737683941,0.505298805,0.599768283,,,,
69,0.986032683,0.997013935,0.964987105,0.980739124,0.749352859,0.73699506,0.505179283,0.599456329,,,,
70,0.985992005,0.99685903,0.965027246,0.980684901,0.746808668,0.731217054,0.502908367,0.595944574,,,,
71,0.985947629,0.996992606,0.964776365,0.980619957,0.746941794,0.732487782,0.501593625,0.595440787,,,,
72,0.986080757,0.997323679,0.964816506,0.980800816,0.749412026,0.73595928,0.506932271,0.600344429,,,,
73,0.985847783,0.996888677,0.964605766,0.98048156,0.749485985,0.736500579,0.506454183,0.600188857,,,,
74,0.985988307,0.996889903,0.964987105,0.980679112,0.749781821,0.737851662,0.505737052,0.600132375,,,,
