,precision_score(train),recall_score(train),accuracy_score(train),f1_score(train),precision_score(test),recall_score(test),accuracy_score(test),f1_score(test)
730,0.9942028985507246,0.9492619926199262,0.9767972613160898,0.9712128362435112,0.6596858638743456,0.4359861591695502,0.6534954407294833,0.525
731,0.9933014354066986,0.9575645756457565,0.9798402434385698,0.9751056834194458,0.7368421052631579,0.4844290657439446,0.6975683890577508,0.5845511482254697
732,0.9952015355086372,0.9566420664206642,0.9802206162038798,0.9755409219190969,0.6703910614525139,0.41522491349480967,0.6534954407294833,0.5128205128205129
733,0.9961315280464217,0.9501845018450185,0.9779383796120198,0.9726156751652503,0.6444444444444445,0.4013840830449827,0.6398176291793313,0.49466950959488276
734,0.9904852521408183,0.9603321033210332,0.9798402434385698,0.9751756440281031,0.6827956989247311,0.43944636678200694,0.6641337386018237,0.5347368421052632
735,0.9905749293119699,0.9695571955719557,0.9836439710916698,0.9799533799533799,0.6666666666666666,0.4290657439446367,0.6550151975683891,0.5221052631578947
736,0.9961649089165868,0.9584870848708487,0.9813617344998098,0.9769628584861306,0.6785714285714286,0.4602076124567474,0.6671732522796353,0.5484536082474227
737,0.994291151284491,0.9640221402214022,0.9828832255610498,0.9789227166276346,0.6494845360824743,0.4359861591695502,0.648936170212766,0.5217391304347827
738,0.999043062200957,0.9630996309963099,0.9844047166222899,0.9807421324565524,0.6511627906976745,0.4844290657439446,0.6595744680851063,0.5555555555555555
739,0.9923371647509579,0.955719557195572,0.9786991251426398,0.9736842105263158,0.6368421052631579,0.4186851211072664,0.6398176291793313,0.5052192066805845
740,0.9913710450623202,0.9538745387453874,0.9775580068467098,0.9722614010343207,0.7055555555555556,0.43944636678200694,0.6732522796352584,0.5415778251599148
741,0.9924528301886792,0.9704797047970479,0.9847850893875999,0.9813432835820896,0.67,0.46366782006920415,0.6641337386018237,0.5480572597137016
742,0.9952290076335878,0.9621771217712177,0.9825028527957398,0.9784240150093808,0.655,0.4532871972318339,0.6550151975683891,0.5357873210633947
743,0.9932692307692308,0.9529520295202952,0.9779383796120198,0.972693032015066,0.6700507614213198,0.45674740484429066,0.662613981762918,0.5432098765432098
