,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
161,0.99625,1,0.988483685,0.994208494,0.885,0.95959596,0.693430657,0.805084746
162,0.995,0.998058252,0.986564299,0.992277992,0.89,0.918918919,0.744525547,0.822580645
163,0.99375,0.998050682,0.982725528,0.99032882,0.88,0.949494949,0.686131387,0.796610169
164,0.995625,1,0.986564299,0.993236715,0.8925,0.943396226,0.729927007,0.823045267
165,0.998125,1,0.994241843,0.997112608,0.8875,0.910714286,0.744525547,0.819277108
166,0.99375,1,0.980806142,0.990310078,0.865,0.902912621,0.678832117,0.775
167,0.99625,1,0.988483685,0.994208494,0.88,0.908256881,0.722627737,0.804878049
168,0.995625,1,0.986564299,0.993236715,0.8975,0.928571429,0.759124088,0.835341365
169,0.99,0.996070727,0.973128599,0.984466019,0.88,0.958762887,0.678832117,0.794871795
170,0.996875,1,0.990403071,0.995178399,0.8925,0.943396226,0.729927007,0.823045267
171,0.99375,0.996116505,0.984644914,0.99034749,0.89,0.96039604,0.708029197,0.81512605
172,0.996875,1,0.990403071,0.995178399,0.8875,0.925925926,0.729927007,0.816326531
173,0.998125,0.998076923,0.996161228,0.997118156,0.9125,0.972222222,0.766423358,0.857142857
174,0.995625,1,0.986564299,0.993236715,0.9025,0.962264151,0.744525547,0.839506173
175,0.995625,0.998062016,0.988483685,0.993249759,0.9125,0.972222222,0.766423358,0.857142857
176,0.995625,1,0.986564299,0.993236715,0.9075,0.980769231,0.744525547,0.846473029
177,0.9975,0.998073218,0.994241843,0.996153846,0.885,0.933333333,0.715328467,0.809917355
178,0.995,1,0.984644914,0.992263056,0.89,1,0.678832117,0.808695652
179,0.994375,1,0.982725528,0.991287512,0.8825,0.909090909,0.729927007,0.809716599
180,0.994375,1,0.982725528,0.991287512,0.9025,0.962264151,0.744525547,0.839506173
181,0.995,1,0.984644914,0.992263056,0.89,0.979381443,0.693430657,0.811965812
182,0.994375,0.996124031,0.986564299,0.991321119,0.8725,0.905660377,0.700729927,0.790123457
183,0.996875,1,0.990403071,0.995178399,0.8975,0.961538462,0.729927007,0.829875519
184,0.996875,1,0.990403071,0.995178399,0.9075,0.946428571,0.773722628,0.851405622
185,0.994375,0.998054475,0.984644914,0.991304348,0.8925,0.951923077,0.722627737,0.821576763
186,0.995,0.994219653,0.990403071,0.992307692,0.9,0.936936937,0.759124088,0.838709677
187,0.995,1,0.984644914,0.992263056,0.89,0.926605505,0.737226277,0.821138211
188,0.995625,1,0.986564299,0.993236715,0.8925,0.979591837,0.700729927,0.817021277
189,0.99625,0.998065764,0.990403071,0.994219653,0.89,0.918918919,0.744525547,0.822580645
190,0.995625,1,0.986564299,0.993236715,0.8825,0.924528302,0.715328467,0.806584362
191,0.995,0.996131528,0.988483685,0.992292871,0.9,0.944954128,0.751824818,0.837398374
192,0.993125,0.998046875,0.980806142,0.989351404,0.8875,0.933962264,0.722627737,0.814814815
193,0.996875,0.998069498,0.992322457,0.99518768,0.8975,0.952830189,0.737226277,0.83127572
194,0.995625,1,0.986564299,0.993236715,0.8875,0.96,0.700729927,0.810126582
195,0.994375,1,0.982725528,0.991287512,0.9025,0.945454545,0.759124088,0.842105263
196,0.996875,1,0.990403071,0.995178399,0.9075,0.946428571,0.773722628,0.851405622
197,0.996875,1,0.990403071,0.995178399,0.8975,1,0.700729927,0.824034335
198,0.993125,1,0.978886756,0.989330747,0.8875,0.942307692,0.715328467,0.813278008
199,0.995625,1,0.986564299,0.993236715,0.8825,0.894736842,0.744525547,0.812749004
200,0.995,1,0.984644914,0.992263056,0.88,0.940594059,0.693430657,0.798319328
201,0.994375,1,0.982725528,0.991287512,0.8975,0.98,0.715328467,0.827004219
202,0.998125,1,0.994241843,0.997112608,0.8825,0.909090909,0.729927007,0.809716599
203,0.996875,1,0.990403071,0.995178399,0.9025,0.929824561,0.773722628,0.844621514
204,0.995625,1,0.986564299,0.993236715,0.8825,0.924528302,0.715328467,0.806584362
205,0.99625,1,0.988483685,0.994208494,0.895,0.927927928,0.751824818,0.830645161
206,0.995625,1,0.986564299,0.993236715,0.8825,0.941176471,0.700729927,0.80334728
207,0.99625,1,0.988483685,0.994208494,0.895,0.961165049,0.722627737,0.825
208,0.99375,0.996116505,0.984644914,0.99034749,0.91,0.946902655,0.781021898,0.856
209,0.998125,1,0.994241843,0.997112608,0.9075,0.962962963,0.759124088,0.848979592
210,0.991875,0.998039216,0.97696737,0.987390883,0.8725,0.93,0.678832117,0.784810127
211,0.99375,0.996116505,0.984644914,0.99034749,0.885,0.95959596,0.693430657,0.805084746
212,0.99625,1,0.988483685,0.994208494,0.89,0.96039604,0.708029197,0.81512605
213,0.9975,1,0.992322457,0.996146435,0.89,0.942857143,0.722627737,0.818181818
214,0.996875,0.996153846,0.994241843,0.995196926,0.8925,0.912280702,0.759124088,0.828685259
215,0.99625,0.998065764,0.990403071,0.994219653,0.89,0.951456311,0.715328467,0.816666667
216,0.996875,1,0.990403071,0.995178399,0.9025,0.962264151,0.744525547,0.839506173
217,0.99625,1,0.988483685,0.994208494,0.895,0.943925234,0.737226277,0.827868852
218,0.99375,0.996116505,0.984644914,0.99034749,0.87,0.920792079,0.678832117,0.781512605
219,0.994375,1,0.982725528,0.991287512,0.8875,0.96,0.700729927,0.810126582
