,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,14,auto,0.8271114611877212,0.7529768508246432,0.8604897670752589,0.738719953663481,0.6344307957437428,0.5113258228761577,0.7303681830764973,0.6043404094010614
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,15,auto,0.8208840420535691,0.7514089194586199,0.8539731539924479,0.7351326359590823,0.6208644770855459,0.5099627149901776,0.7189965654877936,0.602187189319699
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,16,auto,0.8166091628854695,0.7501368241993935,0.846896761357356,0.7334299797042622,0.6141414343827024,0.5070761335845728,0.7119791848160667,0.5996017824973926
16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,17,auto,0.8121198001604929,0.7493232749057023,0.8415110119877335,0.7325500232666357,0.6048734545017334,0.5049111975303693,0.703834540006762,0.5977928088287648
17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,18,auto,0.8078449209923932,0.7491753568523039,0.8350326321391558,0.7328008395522388,0.597388934532994,0.5039089123200898,0.6964978272043363,0.5971730609336026
18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,19,auto,0.8044760499524808,0.7481251386731751,0.8305559859700525,0.7316901820736491,0.590766086207242,0.5010624223228962,0.6904336727225888,0.594802969731582
19,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,20,auto,0.800852017439732,0.7465572073071518,0.8248250512476143,0.7291238777067074,0.5845740737029838,0.49813574950888023,0.6842225623163931,0.5918921493902439
20,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,21,auto,0.7980452412385316,0.7460986613416167,0.8202795022252459,0.7274801123069724,0.5798649379796805,0.49861684640981435,0.6794317915003523,0.5916886700444826
21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,22,auto,0.7951719011748521,0.745891576066859,0.8168614190529184,0.7289995280792827,0.5736428671622948,0.49544962514533136,0.6739809882574531,0.5899510681465568
22,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,23,auto,0.7922726751646532,0.7443680201168552,0.8130551450013632,0.7263755097216477,0.5677113600384747,0.49276350078178244,0.6685860939850734,0.5871870819797439
23,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,24,auto,0.7912335393115077,0.7452851120479255,0.8107135689917147,0.7271069811209786,0.5666693385167224,0.49565008218738726,0.6670716172862804,0.5894721785152339
24,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,25,auto,0.7882418634923101,0.744678648028992,0.8069790599339038,0.7274126702190645,0.5602669178205719,0.4925630437397266,0.6613640530103667,0.5873831663997323
25,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,26,auto,0.7853611274439107,0.7419865394571408,0.8026639997680958,0.7223408039843472,0.554866440895337,0.4884336286733753,0.6561492890995261,0.5827931785022363
26,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,27,auto,0.7840261522019696,0.7423711263959766,0.8005749713240312,0.7241749076611462,0.5524517564074304,0.4873511606462735,0.653762471914109,0.5826164058568382
27,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,28,auto,0.7818776186408399,0.7409215294726721,0.797137949106155,0.7213876967095851,0.548634350640242,0.4851862245920699,0.6499424325511282,0.5801673098588173
28,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,29,auto,0.7803873277197809,0.7406848605872347,0.7953439431803235,0.7210689572894298,0.5452878584453841,0.48462494487431346,0.6469955359531127,0.5796628863260365
29,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,30,auto,0.7787787010432037,0.7408327786406331,0.793129233746811,0.7214993434403725,0.5419814440013626,0.48462494487431346,0.6439336222084663,0.5798019042137325
30,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,31,auto,0.7766412614591538,0.7393831817173286,0.7891886338284506,0.7188620607219699,0.5387351461835962,0.4822194603696428,0.6403434600864605,0.5772285542891421
31,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,32,auto,0.7750955006526956,0.7392796390799498,0.7869127516778524,0.7193739881273611,0.535699256557722,0.4809766267088963,0.6374485842026826,0.5765016818837099
32,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,33,auto,0.7740378748377506,0.7399896457362621,0.7851102074493164,0.7211313276887047,0.5339057772077831,0.4814577236098304,0.6355872565273918,0.5774112895470718
33,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,34,auto,0.7726363357333303,0.7385252570076177,0.7828808479855913,0.7175188600167645,0.53133078171653,0.48045543839955096,0.633031520266439,0.5755312762636571
34,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,35,auto,0.7712976624990293,0.7381110864581022,0.7819653866151675,0.7175402741043521,0.527403162134541,0.47857114220422564,0.6299387868670006,0.5741840833112869
