,train_accuracy_score,train_reccall_score,train_precision_score,train_f1_score,test_accuracy_score,test_reccall_score,test_precision_score,test_f1_score
320,0.9906542056074766,1.0,0.9712758851035405,0.9854286682480514,0.8859604662949823,0.8838174273858921,0.7159663865546219,0.7910863509749303
321,0.9939143664420778,0.9993201903467029,0.9819639278557114,0.9905660377358491,0.8986315255955398,0.888015717092338,0.7596638655462185,0.818840579710145
322,0.9945663986089981,0.9979702300405954,0.9853039412157648,0.9915966386554621,0.9011657374556513,0.8891050583657587,0.7680672268907563,0.8241659152389541
323,0.9919582699413171,0.9979536152796725,0.9772879091516367,0.987512656091799,0.8940699442473391,0.8922764227642277,0.7378151260504202,0.8077276908923643
324,0.9913062377743969,0.998631074606434,0.9746158984635939,0.9864773495605139,0.9047136340598074,0.917864476386037,0.7512605042016807,0.8262476894639555
325,0.9952184307759183,0.999322951929587,0.9859719438877755,0.9926025554808339,0.9178915357323872,0.9270216962524654,0.7899159663865546,0.8529945553539019
326,0.9934796783307976,0.9986403806934059,0.9812959251837008,0.9898921832884098,0.9087683730359858,0.9191919191919192,0.7647058823529411,0.8348623853211009
327,0.9930449902195175,1.0,0.978623914495658,0.9891964888588791,0.900658895083629,0.893491124260355,0.761344537815126,0.8221415607985482
328,0.9941317104977179,0.9993206521739131,0.9826319305277221,0.9909060289659819,0.9082615306639635,0.914,0.7680672268907563,0.834703196347032
329,0.9945663986089981,1.0,0.9832999331997327,0.9915796564499831,0.9021794221996959,0.9068825910931174,0.7529411764705882,0.82277318640955
330,0.9930449902195175,0.998638529611981,0.9799599198396793,0.9892110586648686,0.9036999493157628,0.9107505070993914,0.7546218487394958,0.8253676470588235
331,0.9936970223864378,0.998641304347826,0.9819639278557114,0.9902324014819804,0.9021794221996959,0.8910505836575876,0.7697478991596639,0.8259693417493238
332,0.9930449902195175,1.0,0.978623914495658,0.9891964888588791,0.9016725798276736,0.8939096267190569,0.7647058823529411,0.8242753623188406
333,0.9919582699413171,0.9979536152796725,0.9772879091516367,0.987512656091799,0.9001520527116067,0.871268656716418,0.7848739495798319,0.8258178603006189
334,0.9923929580525973,0.9979564032697548,0.978623914495658,0.9881956155143339,0.8971109984794728,0.884313725490196,0.7579831932773109,0.816289592760181
335,0.991740925885677,0.9979522184300341,0.9766199064796259,0.9871708305199189,0.9016725798276736,0.8986083499005965,0.7596638655462185,0.8233151183970857
336,0.9910888937187567,0.9986301369863013,0.9739478957915831,0.9861345958741968,0.9113025848960973,0.9133858267716536,0.7798319327731092,0.8413417951042611
337,0.9950010867202782,0.9986468200270636,0.9859719438877755,0.9922689075630252,0.9092752154080082,0.90625,0.7798319327731092,0.838301716350497
338,0.9910888937187567,0.9979480164158687,0.9746158984635939,0.986143967556607,0.8960973137354283,0.8931451612903226,0.7445378151260504,0.8120989917506876
339,0.9954357748315583,0.9986486486486487,0.9873079492317969,0.992945918710111,0.9082615306639635,0.9090909090909091,0.773109243697479,0.8356039963669392
340,0.9913062377743969,0.9979494190020506,0.9752839011356046,0.9864864864864866,0.8966041561074506,0.8781431334622823,0.7630252100840336,0.8165467625899281
341,0.9928276461638774,0.9979591836734694,0.9799599198396793,0.9888776541961577,0.9031931069437404,0.8929961089494164,0.7714285714285715,0.8277727682596935
342,0.9930449902195175,0.9979605710401088,0.9806279225116901,0.9892183288409705,0.9016725798276736,0.9083503054989817,0.7495798319327731,0.8213627992633518
343,0.9928276461638774,0.9979591836734694,0.9799599198396793,0.9888776541961577,0.8950836289913837,0.8895582329317269,0.7445378151260504,0.8106129917657823
344,0.9945663986089981,0.9986449864498645,0.9846359385437542,0.9915909855364952,0.9031931069437404,0.904,0.7596638655462185,0.8255707762557077
345,0.9954357748315583,0.9986486486486487,0.9873079492317969,0.992945918710111,0.9052204764318297,0.9112903225806451,0.7596638655462185,0.8285976168652612
