,Tester,Cols,rows,count,n_estimators,max_features,min_samples_leaf,max_leaf_nodes,max_depth,accuracy(train),precision(train),recall(train),f1(train),accuracy(test),precision(test),recall(test),f1(test)
291,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,35,,,0.813,0.809,0.513,0.628,0.782,0.733,0.454,0.561
292,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,40,,,0.807,0.798,0.5,0.614,0.781,0.729,0.449,0.556
293,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,45,,,0.803,0.79,0.488,0.603,0.778,0.725,0.443,0.55
294,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,50,,,0.799,0.782,0.479,0.594,0.777,0.723,0.439,0.546
295,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,55,,,0.796,0.775,0.473,0.588,0.776,0.722,0.436,0.543
296,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,60,,,0.793,0.77,0.465,0.58,0.775,0.721,0.432,0.541
297,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,65,,,0.79,0.763,0.459,0.573,0.772,0.715,0.425,0.533
298,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,70,,,0.788,0.758,0.454,0.568,0.772,0.713,0.425,0.533
299,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,75,,,0.786,0.755,0.45,0.564,0.771,0.712,0.423,0.531
300,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,80,,,0.784,0.752,0.445,0.559,0.77,0.711,0.419,0.527
301,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,85,,,0.783,0.748,0.442,0.555,0.77,0.709,0.419,0.526
302,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,90,,,0.781,0.745,0.438,0.552,0.77,0.709,0.418,0.526
303,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,95,,,0.78,0.741,0.436,0.549,0.768,0.706,0.414,0.522
304,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,5,,,0.949,0.978,0.854,0.912,0.809,0.769,0.538,0.633
305,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,10,,,0.893,0.928,0.705,0.802,0.801,0.759,0.513,0.612
306,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,15,,,0.862,0.89,0.629,0.737,0.797,0.755,0.497,0.6
307,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,20,,,0.843,0.861,0.583,0.695,0.792,0.747,0.482,0.586
308,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,25,,,0.831,0.84,0.554,0.668,0.79,0.745,0.476,0.581
309,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,30,,,0.821,0.823,0.533,0.647,0.786,0.736,0.465,0.57
310,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,35,,,0.814,0.811,0.516,0.631,0.783,0.734,0.457,0.563
311,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,40,,,0.808,0.798,0.501,0.615,0.781,0.73,0.451,0.557
312,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,45,,,0.803,0.79,0.489,0.604,0.779,0.726,0.445,0.552
313,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,50,,,0.799,0.782,0.48,0.595,0.777,0.723,0.44,0.547
314,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,55,,,0.797,0.777,0.474,0.589,0.776,0.721,0.436,0.544
315,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,60,,,0.793,0.77,0.467,0.582,0.776,0.721,0.433,0.541
316,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,65,,,0.79,0.763,0.459,0.573,0.774,0.716,0.429,0.537
317,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,70,,,0.788,0.759,0.457,0.57,0.773,0.714,0.428,0.535
318,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,75,,,0.786,0.756,0.449,0.564,0.772,0.714,0.425,0.533
319,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,80,,,0.784,0.751,0.446,0.56,0.771,0.711,0.423,0.53
320,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,85,,,0.783,0.747,0.443,0.556,0.77,0.709,0.419,0.527
321,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,90,,,0.782,0.745,0.439,0.553,0.769,0.706,0.418,0.526
322,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,17,95,,,0.78,0.742,0.437,0.55,0.769,0.706,0.416,0.524
323,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,5,,,0.95,0.979,0.854,0.912,0.81,0.77,0.54,0.635
324,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,10,,,0.893,0.928,0.707,0.802,0.802,0.761,0.515,0.614
325,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,15,,,0.863,0.891,0.632,0.74,0.797,0.756,0.497,0.6
326,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,20,,,0.844,0.862,0.587,0.699,0.792,0.748,0.484,0.588
327,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,25,,,0.83,0.838,0.555,0.668,0.789,0.743,0.476,0.58
328,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,30,,,0.822,0.823,0.534,0.648,0.787,0.739,0.467,0.572
329,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,35,,,0.815,0.811,0.518,0.632,0.784,0.734,0.459,0.564
330,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,40,,,0.809,0.8,0.502,0.617,0.781,0.731,0.452,0.558
331,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,45,,,0.804,0.79,0.491,0.606,0.78,0.728,0.449,0.555
332,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,50,,,0.8,0.782,0.482,0.597,0.778,0.725,0.442,0.549
333,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,55,,,0.796,0.775,0.474,0.589,0.777,0.722,0.44,0.546
334,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,60,,,0.794,0.771,0.467,0.582,0.775,0.72,0.433,0.541
335,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,65,,,0.791,0.764,0.461,0.575,0.773,0.714,0.432,0.538
336,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,70,,,0.789,0.76,0.456,0.57,0.773,0.714,0.427,0.535
337,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,75,,,0.787,0.756,0.452,0.566,0.772,0.713,0.426,0.533
338,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,80,,,0.785,0.751,0.448,0.561,0.771,0.71,0.424,0.531
339,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,85,,,0.783,0.748,0.443,0.556,0.769,0.708,0.419,0.526
340,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,90,,,0.782,0.744,0.44,0.553,0.769,0.707,0.417,0.525
341,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,18,95,,,0.78,0.742,0.437,0.55,0.769,0.706,0.416,0.524
342,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,5,,,0.95,0.979,0.857,0.914,0.81,0.771,0.539,0.635
343,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,10,,,0.893,0.928,0.708,0.803,0.803,0.761,0.516,0.615
344,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,15,,,0.863,0.89,0.634,0.74,0.797,0.755,0.499,0.601
345,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,20,,,0.844,0.861,0.588,0.699,0.792,0.747,0.485,0.588
346,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,25,,,0.832,0.84,0.558,0.67,0.789,0.74,0.475,0.578
347,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,30,,,0.822,0.823,0.535,0.649,0.787,0.738,0.469,0.573
348,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,35,,,0.815,0.81,0.518,0.632,0.784,0.734,0.459,0.565
349,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,40,,,0.809,0.799,0.505,0.619,0.781,0.729,0.453,0.559
350,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,45,,,0.804,0.79,0.493,0.607,0.779,0.726,0.448,0.554
351,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,50,,,0.8,0.782,0.482,0.597,0.778,0.724,0.442,0.549
352,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,55,,,0.797,0.775,0.476,0.59,0.776,0.719,0.438,0.544
353,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,60,,,0.794,0.771,0.468,0.583,0.775,0.718,0.434,0.541
354,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,65,,,0.791,0.765,0.464,0.578,0.774,0.716,0.432,0.539
355,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,70,,,0.789,0.759,0.457,0.571,0.773,0.714,0.429,0.536
356,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,75,,,0.787,0.756,0.452,0.566,0.772,0.713,0.426,0.534
357,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,80,,,0.785,0.751,0.449,0.562,0.771,0.709,0.425,0.532
358,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,85,,,0.784,0.748,0.446,0.559,0.77,0.709,0.422,0.529
359,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,90,,,0.782,0.746,0.44,0.553,0.768,0.705,0.417,0.524
360,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,19,95,,,0.781,0.744,0.438,0.551,0.769,0.708,0.417,0.525
361,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,5,,,0.951,0.978,0.859,0.915,0.811,0.772,0.541,0.636
362,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,10,,,0.894,0.929,0.71,0.805,0.802,0.76,0.516,0.615
363,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,15,,,0.864,0.891,0.635,0.742,0.797,0.754,0.499,0.601
364,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,20,,,0.845,0.862,0.59,0.7,0.792,0.746,0.486,0.588
365,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,25,,,0.832,0.841,0.559,0.672,0.79,0.743,0.478,0.582
366,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,30,,,0.822,0.822,0.537,0.65,0.787,0.738,0.469,0.574
367,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,35,,,0.815,0.811,0.52,0.634,0.784,0.734,0.461,0.567
368,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,40,,,0.809,0.799,0.506,0.619,0.782,0.731,0.455,0.561
369,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,45,,,0.804,0.79,0.494,0.608,0.78,0.727,0.449,0.555
370,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,50,,,0.8,0.781,0.484,0.598,0.778,0.723,0.442,0.549
371,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,55,,,0.797,0.774,0.478,0.591,0.777,0.722,0.441,0.547
372,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,60,,,0.794,0.769,0.47,0.583,0.775,0.718,0.435,0.542
373,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,65,,,0.791,0.766,0.462,0.576,0.774,0.717,0.432,0.539
374,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,70,,,0.789,0.759,0.46,0.573,0.773,0.714,0.431,0.537
375,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,75,,,0.787,0.755,0.453,0.566,0.772,0.711,0.427,0.534
376,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,80,,,0.786,0.753,0.449,0.563,0.772,0.713,0.424,0.531
377,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,85,,,0.783,0.747,0.444,0.557,0.77,0.708,0.421,0.528
378,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,90,,,0.782,0.745,0.442,0.555,0.769,0.705,0.419,0.526
379,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,20,95,,,0.78,0.74,0.44,0.552,0.768,0.705,0.418,0.524
