,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
385,0.986191697,0.98098352,0.758257525,0.618180969
386,0.98638769,0.981268987,0.759174617,0.622031341
387,0.986772281,0.981795233,0.758065232,0.619822416
388,0.985984609,0.980702058,0.758745655,0.620944501
389,0.986594778,0.981556199,0.760136085,0.623391704
390,0.986713113,0.981720129,0.757858147,0.619071997
391,0.986417274,0.981307032,0.759026699,0.620088151
392,0.986413576,0.98130318,0.758568153,0.619498322
393,0.986724207,0.981736043,0.759707122,0.621866344
394,0.985858877,0.980525764,0.760298794,0.623235916
395,0.986757489,0.981779327,0.759988167,0.624258985
396,0.986409878,0.981288473,0.760298794,0.62128117
397,0.985951327,0.980650222,0.75756231,0.618322388
398,0.986594778,0.981551318,0.758124399,0.61853217
399,0.986273052,0.981105376,0.760254419,0.623157405
400,0.985951327,0.980650419,0.760816508,0.622953878
401,0.985932837,0.980629392,0.759529621,0.622991118
402,0.98625826,0.98108309,0.759174617,0.621204718
403,0.986402482,0.981289722,0.761482139,0.622780546
404,0.986805563,0.981846489,0.759381703,0.62061245
405,0.986335918,0.981192387,0.75879003,0.619111018
406,0.985988307,0.980704497,0.759928999,0.622241877
407,0.986531912,0.981460932,0.761881518,0.624860179
408,0.986801865,0.981841863,0.758982324,0.620434215
409,0.986546704,0.981483367,0.760653798,0.623022622
410,0.986324824,0.981180853,0.761881518,0.626583159
411,0.986265656,0.981096928,0.758390652,0.619396029
412,0.986476442,0.981382397,0.758568153,0.619391848
413,0.986358106,0.981227132,0.760195252,0.622414757
414,0.98625826,0.981079237,0.759529621,0.620314361
415,0.986746395,0.981765454,0.760431921,0.623085874
416,0.986265656,0.981091539,0.760224835,0.622056423
417,0.98625826,0.981082319,0.759337327,0.621310865
418,0.986358106,0.981218912,0.759411286,0.622192284
419,0.986365502,0.981236737,0.76018046,0.621448084
420,0.986502328,0.981422667,0.759914208,0.621452061
421,0.986269354,0.981104999,0.758760447,0.618868454
422,0.986557798,0.981507578,0.758878781,0.619695308
423,0.986162113,0.980944524,0.762266105,0.624994167
424,0.986343314,0.981201993,0.760875675,0.622695234
425,0.985929139,0.980620649,0.759307744,0.621458149
426,0.986402482,0.981279624,0.759411286,0.621347922
427,0.986339616,0.981190105,0.761201095,0.624488277
428,0.986383992,0.981255027,0.761201095,0.624453336
429,0.986402482,0.981286865,0.76075734,0.623545294
430,0.986798167,0.981836498,0.759662747,0.622543326
431,0.986265656,0.981087109,0.757976481,0.618209819
432,0.986439462,0.981338517,0.761940685,0.625616451
433,0.986184301,0.980981664,0.758301901,0.619220731
434,0.986361804,0.981227349,0.76018046,0.623120017
435,0.986206488,0.981009694,0.760727757,0.622232602
436,0.986361804,0.981225246,0.758523778,0.618868629
437,0.986409878,0.981295521,0.759928999,0.621219193
438,0.986117737,0.980885558,0.759100658,0.620814901
439,0.986613268,0.98158117,0.759396494,0.622440927
440,0.986605872,0.981567618,0.758775239,0.620143483
441,0.986565194,0.981510039,0.758775239,0.61922107
442,0.986790771,0.981829466,0.759307744,0.62154619
443,0.986347012,0.98120584,0.757902522,0.617137243
444,0.986110341,0.980878295,0.760002958,0.621627294
445,0.986805563,0.981845196,0.761585682,0.624691473
446,0.986358106,0.981224074,0.759958583,0.622341168
447,0.986354408,0.981216212,0.759662747,0.621435228
448,0.986432066,0.981323967,0.75821315,0.618387262
449,0.986428368,0.981314978,0.759174617,0.619522797
450,0.986761187,0.981785249,0.757902522,0.619663979
451,0.986820355,0.981869239,0.758494194,0.619088725
452,0.98653561,0.981467626,0.761437763,0.625104603
453,0.986531912,0.981468667,0.759988167,0.620746073
454,0.986176905,0.980961209,0.759988167,0.621736292
455,0.986494932,0.981414191,0.758568153,0.620524505
456,0.986790771,0.981825213,0.759736706,0.620481787
457,0.986716811,0.981728656,0.760742549,0.623758461
458,0.985999401,0.980720658,0.760076917,0.622351572
459,0.986531912,0.981461686,0.76034317,0.622630083
460,0.986176905,0.980964312,0.758775239,0.618936349
461,0.98640618,0.981292621,0.759973375,0.621227329
462,0.986457952,0.981363868,0.760076917,0.622650288
463,0.986184301,0.980981083,0.759559204,0.621967953
464,0.986487536,0.981398711,0.759426078,0.621168359
465,0.98633222,0.981182412,0.75985504,0.62135877
466,0.986287844,0.981123239,0.762221729,0.625718876
467,0.986491234,0.981406168,0.758937948,0.618417664
468,0.98648014,0.981390993,0.758760447,0.620429632
469,0.986631758,0.981604458,0.758553361,0.619590296
470,0.986383992,0.981257699,0.761659641,0.623659932
471,0.986661342,0.981646661,0.758242734,0.621245829
472,0.986243468,0.981057134,0.759795873,0.621512644
473,0.986095549,0.980855007,0.760550255,0.621333333
474,0.986073361,0.9808268,0.761452555,0.625153987
475,0.986069663,0.980825321,0.759322535,0.619560897
476,0.986151019,0.980932063,0.758997116,0.620501712
477,0.986014193,0.980744949,0.760727757,0.624477667
478,0.986280448,0.981103052,0.75927816,0.621464459
479,0.986084455,0.980833779,0.758893573,0.620842056
480,0.985962421,0.980668948,0.759352119,0.621113673
481,0.986173207,0.980964163,0.762014644,0.625358016
482,0.985999401,0.980723014,0.757443976,0.618509213
483,0.986228676,0.98104082,0.760816508,0.623866015
484,0.98642467,0.981311314,0.760609422,0.622732995
485,0.986420972,0.981309933,0.759707122,0.621619733
486,0.98622128,0.981033921,0.759884624,0.623005643
487,0.986531912,0.981459421,0.760387545,0.622656013
