,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
90,0.986402482,0.981244293,0.758035648,0.61933352
91,0.986687228,0.981647447,0.756009171,0.617773143
92,0.986065965,0.980774333,0.755032912,0.616012428
93,0.986598476,0.98152359,0.757251683,0.619737238
94,0.98633222,0.981150551,0.757399601,0.61779031
95,0.986091851,0.980805838,0.757236891,0.619140444
96,0.985718354,0.980290287,0.75608313,0.617454647
97,0.986173207,0.980925318,0.756023963,0.615237473
98,0.985899555,0.980544628,0.757488351,0.618054747
99,0.986043777,0.980738215,0.755402707,0.614311704
100,0.985899555,0.980542245,0.757754604,0.620032018
101,0.986210186,0.980983319,0.757858147,0.619514689
102,0.986139925,0.980868962,0.757946897,0.618981093
103,0.985980911,0.980654314,0.757000222,0.617437474
104,0.986143623,0.980884116,0.756719178,0.618637976
105,0.98631373,0.981119948,0.754515199,0.61311078
106,0.985992005,0.980671103,0.760284003,0.622923356
107,0.985762729,0.980350526,0.757651061,0.62016043
108,0.986417274,0.98126527,0.75788773,0.619896893
109,0.986506026,0.981388445,0.755935212,0.616046912
110,0.986224978,0.981002361,0.756896679,0.617158564
111,0.986413576,0.981261221,0.757207307,0.618314575
112,0.986568892,0.981473925,0.757266474,0.618620433
113,0.986158415,0.980902574,0.757828563,0.620209706
114,0.986506026,0.981389015,0.757991273,0.621246846
115,0.986054871,0.980756375,0.756748761,0.617655948
116,0.986395086,0.98123792,0.758109607,0.619600363
117,0.985899555,0.980538869,0.758065232,0.619999071
118,0.986280448,0.981077028,0.756112714,0.616326151
119,0.98635071,0.981174802,0.759840249,0.622559048
120,0.986361804,0.981185017,0.757976481,0.620265503
121,0.986169509,0.98091973,0.756467717,0.618305745
122,0.986317428,0.981132653,0.755476666,0.616459015
123,0.986187999,0.980947474,0.755876045,0.616132484
124,0.98623977,0.981019083,0.755816877,0.615681892
125,0.986398784,0.981236417,0.757088973,0.61920883
126,0.986243468,0.981026797,0.758568153,0.621422276
127,0.986310032,0.98111764,0.755373123,0.615574152
128,0.98648014,0.98135607,0.756955846,0.619114954
129,0.986121435,0.980852139,0.754811035,0.613396772
130,0.985903253,0.980540894,0.755358331,0.615058769
131,0.986165811,0.980916284,0.75682272,0.618153946
132,0.985914347,0.98055849,0.755521041,0.614606165
133,0.986010495,0.980695138,0.754884994,0.616189925
134,0.98633222,0.981152858,0.756586051,0.618261112
135,0.986106643,0.98083525,0.758124399,0.619100862
136,0.986213884,0.980984249,0.760816508,0.626213592
137,0.986077059,0.980793658,0.758701279,0.622462913
138,0.986095549,0.980822393,0.755565417,0.615581455
139,0.986328522,0.981139968,0.754944161,0.615123708
140,0.986306334,0.981119954,0.757946897,0.61995448
141,0.986273052,0.981064123,0.755580209,0.615828141
142,0.985862575,0.980485838,0.755402707,0.61547763
143,0.986317428,0.981125531,0.756260632,0.616683726
144,0.986321126,0.98112784,0.756275423,0.615875976
145,0.986476442,0.981350115,0.755077287,0.615502508
146,0.986091851,0.98080721,0.75714814,0.618469976
147,0.986358106,0.981182124,0.759647955,0.622563936
148,0.985755333,0.980338312,0.75763627,0.620708813
149,0.986546704,0.981452781,0.758227942,0.620404561
150,0.9863692,0.981202892,0.755846461,0.615960912
151,0.986032683,0.980725363,0.755787294,0.615133573
152,0.986228676,0.981005039,0.757739812,0.620246707
153,0.985821897,0.980432985,0.756097922,0.615739554
154,0.986139925,0.980881258,0.756157089,0.616476281
155,0.985936535,0.980593473,0.756704386,0.618393578
156,0.985873669,0.980501848,0.757103765,0.61945262
157,0.985710958,0.980268197,0.756674802,0.618683357
158,0.986502328,0.981389515,0.758198358,0.620252282
159,0.98644316,0.981298781,0.758346276,0.621171014
160,0.986372898,0.981205404,0.755890836,0.61589666
161,0.9863692,0.981206151,0.756926263,0.618307667
162,0.986143623,0.980879824,0.755950004,0.614680399
163,0.986339616,0.981154407,0.757503143,0.619009993
164,0.985984609,0.980661292,0.756260632,0.615628645
165,0.986243468,0.981020408,0.754174987,0.613268797
166,0.98625826,0.98104159,0.757517935,0.619925344
