,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
98,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",108,1,auto,0.9999926040152801,0.8074994453072998,1.0,0.7824689554419284,0.9999759059367772,0.5162907268170426,0.9999879528232559,0.6221034903304489
99,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",109,1,auto,1.0,0.8076917387767177,1.0,0.7774912242997349,1.0,0.5230865625602468,1.0,0.625406978419339
100,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",110,1,auto,1.0,0.807292360032542,1.0,0.782205000731101,1.0,0.5156641604010025,1.0,0.6215650961482599
101,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",111,1,auto,1.0,0.8074994453072998,1.0,0.7774429616874731,1.0,0.5222672064777328,1.0,0.6248053969901401
102,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",112,1,auto,0.9999926040152801,0.808031950299534,1.0,0.7841989758595465,0.9999759059367772,0.5166763061499904,0.9999879528232559,0.6229298622813644
103,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",113,1,auto,1.0,0.8088602913985652,1.0,0.7802205671727299,1.0,0.5251108540582224,1.0,0.6277368057156026
104,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",114,1,auto,0.99999630200764,0.8076473633606982,1.0,0.7816409659586849,0.9999879529683886,0.5179294389820706,0.9999939764479113,0.6230287569573284
105,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",115,1,auto,1.0,0.8088898750092449,1.0,0.780613708058503,1.0,0.5247734721418932,1.0,0.6276227807240028
106,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",116,1,auto,1.0,0.8068338140670068,1.0,0.7813803703432628,1.0,0.5145556198187777,1.0,0.6204992589578915
107,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",117,1,auto,1.0,0.8071148583684639,1.0,0.7749714611872146,1.0,0.523520339309813,1.0,0.6248993211368081
108,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",118,1,auto,1.0,0.8069965239257452,1.0,0.782051282051282,1.0,0.5145074224021593,1.0,0.6206756206756207
109,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",119,1,auto,1.0,0.8090969602840027,1.0,0.7804721030042918,1.0,0.5258820127241179,1.0,0.6283690393918452
