,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
80,all,90,1,auto,0.993269654,0.801760225,0.998522695,0.775707082,0.97947083,0.506707404,0.98890501,0.612994513
81,all,91,1,auto,0.993317728,0.801094594,0.998731652,0.774644793,0.979422527,0.504941042,0.988982849,0.611369614
82,all,92,1,auto,0.993321426,0.801848976,0.998829948,0.775122058,0.979337995,0.507805414,0.988987939,0.613614076
83,all,93,1,auto,0.993376896,0.802115228,0.99884245,0.776099803,0.979507058,0.507853153,0.989080267,0.613955099
84,all,94,1,auto,0.993321426,0.801464389,0.998731668,0.774454738,0.979434603,0.506850623,0.988989013,0.612707756
85,all,95,1,auto,0.993569191,0.803047112,0.998695898,0.779642386,0.980279921,0.507900893,0.989402222,0.61509554
86,all,96,1,auto,0.993669037,0.800428962,0.998708598,0.772537837,0.980593897,0.504415907,0.989568354,0.610328096
87,all,97,1,auto,0.99333252,0.802174395,0.998694871,0.776004082,0.979507058,0.508235069,0.989007907,0.614204119
88,all,98,1,auto,0.993683829,0.801079802,0.998770003,0.773506456,0.980581821,0.506230009,0.989592347,0.611957525
89,all,99,1,auto,0.993495231,0.801582723,0.998842906,0.774906941,0.97989349,0.506850623,0.989277463,0.612849227
90,all,100,1,auto,0.993650547,0.80286961,0.998855779,0.779039109,0.980388605,0.507805414,0.989536039,0.614837721
91,all,101,1,auto,0.993750393,0.801286887,0.999003457,0.775342667,0.980569745,0.504988781,0.989700774,0.611621856
92,all,102,1,auto,0.993469345,0.800724798,0.998928796,0.772869972,0.979724426,0.505370697,0.989233414,0.611130354
93,all,103,1,auto,0.993698621,0.801878559,0.998954168,0.778400295,0.980448985,0.50408173,0.989615075,0.611903106
94,all,104,1,auto,0.993661641,0.801789808,0.998745372,0.777892334,0.980533517,0.504272688,0.989555658,0.611886694
95,all,105,1,auto,0.993890917,0.80261815,0.998832163,0.777785897,0.981197696,0.50813959,0.989936402,0.614691615
96,all,106,1,auto,0.993683829,0.801567931,0.998770003,0.777115526,0.980581821,0.504177209,0.989592347,0.611575991
97,all,107,1,auto,0.993872427,0.801538348,0.998954772,0.775864596,0.981016556,0.505513916,0.989904406,0.612169389
98,all,108,1,auto,0.993998158,0.801523556,0.998771287,0.775646189,0.981608279,0.505704874,0.990115412,0.612241359
